env_class,edge_case,omega,ds_w,ds_h,n,mean_log_rms_after,mean_pct_sat_after,mean_pct_crush_after,mean_delta_log_rms,p90_pct_crush_after,stopping_rule_pass
night_clear,extreme_dark,0.55,160,120,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.55,160,120,40,1.5477,0.00639,0.0159,-0.32127,0.03649,1
normal_night,,0.55,160,120,40,1.14676,0.00354,0.25874,-0.09739,0.61291,0
fog,,0.55,160,120,30,0.58467,0.0195,0.00149,-0.4997,0.00857,0
night_clear,extreme_dark,0.55,200,150,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.55,200,150,40,1.5477,0.00639,0.0159,-0.32127,0.03649,1
normal_night,,0.55,200,150,40,1.14676,0.00354,0.25874,-0.09739,0.61291,0
fog,,0.55,200,150,30,0.58467,0.0195,0.00149,-0.4997,0.00857,0
night_clear,extreme_dark,0.7,160,120,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.7,160,120,40,1.57779,0.00671,0.01715,-0.29118,0.04156,1
normal_night,,0.7,160,120,40,1.14815,0.00355,0.25922,-0.096,0.61291,0
fog,,0.7,160,120,30,0.63091,0.01727,0.00211,-0.45346,0.01412,0
night_clear,extreme_dark,0.7,200,150,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.7,200,150,40,1.57779,0.00671,0.01715,-0.29118,0.04156,1
normal_night,,0.7,200,150,40,1.14815,0.00355,0.25922,-0.096,0.61291,0
fog,,0.7,200,150,30,0.63091,0.01727,0.00211,-0.45346,0.01412,0
night_clear,extreme_dark,0.85,160,120,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.85,160,120,40,1.61666,0.00745,0.01956,-0.25232,0.04889,1
normal_night,,0.85,160,120,40,1.14982,0.00356,0.25978,-0.09433,0.61291,0
fog,,0.85,160,120,30,0.69648,0.01602,0.00363,-0.38789,0.01609,0
night_clear,extreme_dark,0.85,200,150,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.85,200,150,40,1.61666,0.00745,0.01956,-0.25232,0.04889,1
normal_night,,0.85,200,150,40,1.14982,0.00356,0.25978,-0.09433,0.61291,0
fog,,0.85,200,150,30,0.69648,0.01602,0.00363,-0.38789,0.01609,0
night_clear,extreme_dark,0.92,160,120,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.92,160,120,40,1.64147,0.00789,0.0229,-0.22751,0.05569,1
normal_night,,0.92,160,120,40,1.15067,0.00357,0.26038,-0.09347,0.61291,0
fog,,0.92,160,120,30,0.74191,0.01482,0.00634,-0.34246,0.0225,0
night_clear,extreme_dark,0.92,200,150,40,1.10831,0.00075,0.67713,0.0,0.91968,0
nir_night,,0.92,200,150,40,1.64147,0.00789,0.0229,-0.22751,0.05569,1
normal_night,,0.92,200,150,40,1.15067,0.00357,0.26038,-0.09347,0.61291,0
fog,,0.92,200,150,30,0.74191,0.01482,0.00634,-0.34246,0.0225,0
