accuracy,balanced_accuracy,brier,classes,ece,feature_set,latency_mean_ms,limitation,macro_f1,model,model_size_bytes,status,test_rows,train_rows,train_time_s,weighted_f1
0.7799539170506913,0.7452394227257684,0.34273745731477834,"fog,normal_day,rain,transition",0.12094246535101759,optical_12_baseline,15.807516744825989,subset comparison only; do not compare directly with full 9-class baseline,0.7559373133176325,random_forest_100,8871494,subset/preliminary,868,4923,0.23778891609981656,0.777387940829516
0.7845622119815668,0.748173352670119,0.3408512484973394,"fog,normal_day,rain,transition",0.12674657032598283,optical_12_baseline,20.51341449841857,subset comparison only; do not compare directly with full 9-class baseline,0.7589915153645641,random_forest_200_current_config,17745434,subset/preliminary,868,4923,0.47549174982123077,0.7815735988033584
0.7465437788018433,0.7283928101792133,0.4352385109922342,"fog,normal_day,rain,transition",0.21999772148185748,optical_12_baseline,18.84875640971586,subset comparison only; do not compare directly with full 9-class baseline,0.7281112869728794,extra_trees,14490778,subset/preliminary,868,4923,0.2337016249075532,0.7458662922173596
0.7949308755760369,0.7560319492409739,0.30541094120348505,"fog,normal_day,rain,transition",0.10436212664642729,optical_v2_candidate,13.610668887849897,subset comparison only; do not compare directly with full 9-class baseline,0.7694826736814905,random_forest_100,8006534,subset/preliminary,868,4923,0.27648262516595423,0.7910250221117515
0.8006912442396313,0.7584159704531384,0.30582963449682754,"fog,normal_day,rain,transition",0.11077821165180346,optical_v2_candidate,22.991020791232586,subset comparison only; do not compare directly with full 9-class baseline,0.7718565786506225,random_forest_200_current_config,16012442,subset/preliminary,868,4923,0.5659150830470026,0.7964625544130758
0.782258064516129,0.7616394960394353,0.3532731350918277,"fog,normal_day,rain,transition",0.16831431346226902,optical_v2_candidate,20.38209162419662,subset comparison only; do not compare directly with full 9-class baseline,0.7644630192502533,extra_trees,21675835,subset/preliminary,868,4923,0.23610904114320874,0.7809515638788117
,,,,,optical_21_candidate,,subset comparison only; do not compare directly with full 9-class baseline,,random_forest_100,,not_run_insufficient_compatible_labeled_rows,0,0,,
,,,,,optical_21_candidate,,subset comparison only; do not compare directly with full 9-class baseline,,random_forest_200_current_config,,not_run_insufficient_compatible_labeled_rows,0,0,,
,,,,,optical_21_candidate,,subset comparison only; do not compare directly with full 9-class baseline,,extra_trees,,not_run_insufficient_compatible_labeled_rows,0,0,,
