abstention_rate_tau1_0.62,accuracy,balanced_accuracy,base_model,brier,calibration_status,ece,latency_mean_ms,macro_f1,model,model_size_bytes,seed,train_time_s,warnings,weighted_f1
0.3289162328442972,0.8230004732607666,0.7415338534423862,random_forest_100,0.2600628796027357,uncalibrated,0.08515202745568946,13.511901684105396,0.7325445031895803,random_forest_100,22994782,42,1.0201544999144971,,0.8201146029266896
0.330809275911027,0.8263132986275438,0.7463152032364473,random_forest_200_current_config,0.25916082740526936,uncalibrated,0.08848969122753564,26.48153906222433,0.7361669412919759,random_forest_200_current_config,45873094,42,0.9105878330301493,,0.8233629629443292
0.6469474680548982,0.8007572172266919,0.7386416385869441,extra_trees,0.37538824035748075,uncalibrated,0.25819844816973686,26.560730771161616,0.7149039615663876,extra_trees,39202330,42,0.3311452497728169,,0.8001800342557828
0.13109323237103643,0.8282063416942735,0.7096434828940956,hist_gradient_boosting,0.24339762618432284,uncalibrated,0.04008697152742617,66.60439915489405,0.723756279013558,hist_gradient_boosting,1898821,42,11.383814375149086,,0.8190932921846671
0.2513014671083767,0.7941315664931378,0.6614417531904556,mlp_32,0.29937474310054724,uncalibrated,0.023578651224726264,0.2075317269191146,0.6757834196590737,mlp_32,16309,42,3.785341333132237,,0.7797012394139663
0.1803123521060104,0.7723615712257453,0.6388376183361824,mlp_32,0.33087417154309323,calibrated_internal_train_validation_split,0.03339159986664969,1.0577116627246141,0.6512385018754363,calibrated_mlp_32,16103,42,1.822561833076179,,0.7575405517141883
0.2626597255087553,0.7860861334595362,0.6544274244776008,mlp_64,0.3012935003849311,uncalibrated,0.016023643826118185,0.20964838098734617,0.6638270906930841,mlp_64,23450,42,2.350034167058766,,0.7704284521255234
0.17983909133932796,0.7747278750591576,0.6429333451278265,mlp_64,0.3246971817417001,calibrated_internal_train_validation_split,0.03744165329524658,1.005380037240684,0.6549665020758398,calibrated_mlp_64,23832,42,1.320664833066985,,0.7592661765403191
0.27875059157595833,0.7889256980596309,0.6541725346464339,mlp_128,0.3032121531083698,uncalibrated,0.03250978443501859,0.1991433184593916,0.6676020803987354,mlp_128,39786,42,3.9330919170752168,,0.7732462644913856
0.22101277804070044,0.8031235210601041,0.689770816738091,mlp_64_32,0.2802148389171553,uncalibrated,0.012268430247049558,0.23089664988219738,0.6981005820498297,mlp_64_32,45514,42,7.436087208101526,,0.7943861632424637
0.24940842404164695,0.79649787032655,0.6673796390839155,mlp_128_64,0.2954309697149104,uncalibrated,0.023216660489304868,0.21464586723595858,0.6724562485828414,mlp_128_64,131710,42,5.138278750004247,,0.7801365772095856
0.322290582110743,0.8272598201609087,0.7495492267194487,random_forest_100,0.2600515593977489,uncalibrated,0.09040779947746871,13.462601662613451,0.7393736674735316,random_forest_100,23014366,43,0.7797618750482798,,0.8242776362862771
0.330809275911027,0.8234737340274492,0.7455569247164795,random_forest_200_current_config,0.2590036198382685,uncalibrated,0.08646243059567685,25.45822329353541,0.7341448321394919,random_forest_200_current_config,46019430,43,1.4546679169870913,,0.8203193968512479
0.6436346426881212,0.7998106956933271,0.731135777176942,extra_trees,0.3738559755949163,uncalibrated,0.25474727358105187,22.39563503768295,0.7096389523126548,extra_trees,39137899,43,0.3284021250437945,,0.7988530384934445
0.1282536677709418,0.8324656885944155,0.7140404490482433,hist_gradient_boosting,0.2453913276332073,uncalibrated,0.035827668960701796,47.83829082734883,0.721944019149011,hist_gradient_boosting,1739797,43,10.63904770789668,,0.8221198446430499
0.2432560340747752,0.7898722195929957,0.6554274735763704,mlp_32,0.2982074839934749,uncalibrated,0.019417614858973056,0.2806041855365038,0.6684551588435759,mlp_32,16420,43,5.27511337492615,,0.7721597060133135
0.20728821580690962,0.7567439659252247,0.6174783197818086,mlp_32,0.34540261551561424,calibrated_internal_train_validation_split,0.046977981055807125,1.8234300147742033,0.6296815846184147,calibrated_mlp_32,15542,43,5.524146166164428,,0.7373049064476155
0.2953147184098438,0.7785139611926172,0.6413054023083474,mlp_64,0.3107778082898123,uncalibrated,0.02707736028408588,0.18146757502108812,0.6560684933913855,mlp_64,23058,43,2.6656635419931263,,0.7605597677900058
0.19214387127307148,0.7714150496923805,0.6427424091068912,mlp_64,0.32496623201128194,calibrated_internal_train_validation_split,0.04662419103583709,1.0537308128550649,0.6589197643585605,calibrated_mlp_64,24000,43,2.2924009589478374,,0.7573652112469063
0.2503549455750118,0.8007572172266919,0.6797798104549291,mlp_128,0.28509500844264973,uncalibrated,0.030879135873438497,0.2906391257420182,0.6910939905014888,mlp_128,40822,43,15.701029832940549,,0.7908360440420572
0.19876952200662565,0.8012304779933743,0.7017158964368668,mlp_64_32,0.27758779791433486,uncalibrated,0.010908729640499862,0.33133662305772305,0.704606175822557,mlp_64_32,46886,43,30.68905591685325,,0.7955375620855208
0.2106010411736867,0.7993374349266446,0.6848100753488582,mlp_128_64,0.2750095530826238,uncalibrated,0.014300161467532782,0.2153933746740222,0.6954157276916452,mlp_128_64,132609,43,18.021612708922476,,0.7919378321355128
0.32938949361097963,0.8300993847610033,0.7519208486477782,random_forest_100,0.25893187243390087,uncalibrated,0.0936086195452078,14.931250838562846,0.7431350044982783,random_forest_100,23062510,44,0.7731318750884384,,0.8271403677679672
0.326549929010885,0.8305726455276857,0.752077500285413,random_forest_200_current_config,0.25801436261966537,uncalibrated,0.0935344475608073,20.243850080296397,0.7437933562674163,random_forest_200_current_config,46065942,44,1.407867917092517,,0.827989630645333
0.6190250828206342,0.8035967818267865,0.7411804273150329,extra_trees,0.3637020963262871,uncalibrated,0.2413494737301711,24.482528367079794,0.7170083082866425,extra_trees,40976572,44,0.41952574998140335,,0.803197852919735
0.12920018930430668,0.8277330809275911,0.7155251975512431,hist_gradient_boosting,0.24768851732844663,uncalibrated,0.04288461284339143,57.63497576583177,0.7273819266954136,hist_gradient_boosting,1995034,44,12.064271457958966,,0.8182898899660925
0.28348319924278276,0.7799337434926644,0.6399856565403341,mlp_32,0.30882906800868365,uncalibrated,0.02705058996365977,0.29414000920951366,0.6493896712112087,mlp_32,15273,44,2.150126124965027,,0.7614382025021017
0.20397539044013252,0.7652626597255088,0.6284592535336958,mlp_32,0.3422514687941241,calibrated_internal_train_validation_split,0.038837171203307555,1.1635234020650387,0.6407648816266169,calibrated_mlp_32,15375,44,1.1497743329964578,,0.7460143311421913
0.2962612399432087,0.7799337434926644,0.6415148384675974,mlp_64,0.313829486908128,uncalibrated,0.030433373144041903,0.24733753874897957,0.6564095808777825,mlp_64,23086,44,1.7252766250167042,,0.762122731061014
0.18646474207288216,0.7695220066256507,0.6290733111874088,mlp_64,0.3289575515051859,calibrated_internal_train_validation_split,0.03955382999771528,1.1054533440619707,0.6436747649372555,calibrated_mlp_64,23887,44,1.3623272920958698,,0.7530022195784809
0.23142451490771415,0.7936583057264552,0.6635173951024957,mlp_128,0.28982674500102235,uncalibrated,0.009973173281393846,0.19744067918509245,0.6754209490871637,mlp_128,40514,44,5.295883750077337,,0.7791104566972886
0.2389966871746332,0.7998106956933271,0.6730222179424826,mlp_64_32,0.2885961960533634,uncalibrated,0.013764396253435519,0.24361752904951572,0.6892812242809802,mlp_64_32,44702,44,3.7309802919626236,,0.7868457930224149
0.19687647893989588,0.8069096071935636,0.7041410341314699,mlp_128_64,0.26918191853436096,uncalibrated,0.015547853522090819,0.1968950778245926,0.709793182075802,mlp_128_64,133616,44,14.558001958066598,,0.8014165233606523
