model,class,support,precision,recall,f1,f1_ci_low,f1_ci_high
random_forest_100,night_clear,417,0.9779951100244498,0.9592326139088729,0.9685230024213075,0.9556433762316114,0.9801818599503559
random_forest_100,normal_night,352,0.8433048433048433,0.8409090909090909,0.8421052631578947,0.8128740178667527,0.8668168812589413
random_forest_100,normal_day,366,0.7889182058047494,0.8169398907103825,0.8026845637583893,0.7696215549156725,0.8343420185281004
random_forest_100,fog,231,0.8133333333333334,0.7922077922077922,0.8026315789473685,0.7654547872340426,0.8422377561273975
random_forest_100,rain,194,0.6900584795321637,0.6082474226804123,0.6465753424657534,0.5895032051282052,0.7035175879396985
random_forest_100,glare,60,0.5454545454545454,0.5,0.5217391304347826,0.4177976190476191,0.6222222222222222
random_forest_100,backlight,55,0.5945945945945946,0.8,0.6821705426356589,0.5762738738738739,0.7640667344173442
random_forest_100,transition,77,0.524390243902439,0.5584415584415584,0.5408805031446541,0.4415400888512799,0.6210987726475745
random_forest_100,nir_night,361,0.9645776566757494,0.9806094182825484,0.9725274725274725,0.9613252577112831,0.984767393591011
random_forest_200_current_config,night_clear,417,0.9803921568627451,0.9592326139088729,0.9696969696969697,0.957593983152828,0.9812261251508704
random_forest_200_current_config,normal_night,352,0.844632768361582,0.8494318181818182,0.8470254957507082,0.8174197970613737,0.8735632183908046
random_forest_200_current_config,normal_day,366,0.7804232804232805,0.8060109289617486,0.793010752688172,0.7594792798385844,0.8232259934436715
random_forest_200_current_config,fog,231,0.808695652173913,0.8051948051948052,0.806941431670282,0.7685261227084658,0.8432448928050286
random_forest_200_current_config,rain,194,0.6976744186046512,0.6185567010309279,0.6557377049180327,0.5959794907190573,0.7102555733586533
random_forest_200_current_config,glare,60,0.5555555555555556,0.5,0.5263157894736842,0.42193120182700544,0.626998482165444
random_forest_200_current_config,backlight,55,0.5972222222222222,0.7818181818181819,0.6771653543307087,0.568712898003238,0.7674107142857143
random_forest_200_current_config,transition,77,0.5,0.5064935064935064,0.5032258064516129,0.4043508910444394,0.5876278772378517
random_forest_200_current_config,nir_night,361,0.9645776566757494,0.9806094182825484,0.9725274725274725,0.960913737392451,0.9841069849690539
extra_trees,night_clear,417,0.946987951807229,0.9424460431654677,0.9447115384615384,0.92960812130694,0.9617687989449816
extra_trees,normal_night,352,0.8425925925925926,0.7755681818181818,0.8076923076923077,0.7747765138130156,0.8362660503338469
extra_trees,normal_day,366,0.7723577235772358,0.7786885245901639,0.7755102040816326,0.7412444054959156,0.8076613488034807
extra_trees,fog,231,0.7520325203252033,0.8008658008658008,0.7756813417190775,0.7339808947318642,0.8147413243120729
extra_trees,rain,194,0.7028985507246377,0.5,0.5843373493975904,0.5183933933933934,0.643950046253469
extra_trees,glare,60,0.44285714285714284,0.5166666666666667,0.47692307692307695,0.35892857142857143,0.5768032962328766
extra_trees,backlight,55,0.4326923076923077,0.8181818181818182,0.5660377358490566,0.46599294058324225,0.6565049144803033
extra_trees,transition,77,0.4268292682926829,0.45454545454545453,0.44025157232704404,0.3390294145827345,0.5336998254799302
extra_trees,nir_night,361,0.958904109589041,0.9695290858725761,0.9641873278236914,0.9525835334667082,0.977114647804303
logistic_regression,night_clear,417,0.837378640776699,0.8273381294964028,0.8323281061519904,0.8060415595299316,0.8569933920704845
logistic_regression,normal_night,352,0.6948529411764706,0.5369318181818182,0.6057692307692307,0.5580218216318786,0.649784743202417
logistic_regression,normal_day,366,0.629757785467128,0.4972677595628415,0.5557251908396946,0.5095192683881065,0.5989903042828247
logistic_regression,fog,231,0.6875,0.7619047619047619,0.7227926078028748,0.6745308435525827,0.7608076923076923
logistic_regression,rain,194,0.3435897435897436,0.34536082474226804,0.3444730077120823,0.28835993945797755,0.402974049331963
logistic_regression,glare,60,0.27586206896551724,0.5333333333333333,0.36363636363636365,0.26956701274185935,0.4444444444444444
logistic_regression,backlight,55,0.5113636363636364,0.8181818181818182,0.6293706293706294,0.5343307086614173,0.7223752151462994
logistic_regression,transition,77,0.32727272727272727,0.4675324675324675,0.3850267379679144,0.2942372881355932,0.46972600631109057
logistic_regression,nir_night,361,0.952,0.9889196675900277,0.970108695652174,0.9583881578947369,0.9822900019489378
linear_svm,night_clear,417,0.8035320088300221,0.8729016786570744,0.8367816091954023,0.8107745213243934,0.8607322562610203
linear_svm,normal_night,352,0.6965944272445821,0.6392045454545454,0.6666666666666666,0.6253774076002082,0.7037189102789293
linear_svm,normal_day,366,0.6417582417582418,0.7978142076502732,0.7113276492082826,0.6746929127756035,0.7419862778730703
linear_svm,fog,231,0.6493055555555556,0.8095238095238095,0.720616570327553,0.6708074534161491,0.763131605546451
linear_svm,rain,194,0.6153846153846154,0.12371134020618557,0.20600858369098712,0.1360396955985191,0.265525281827195
linear_svm,glare,60,0.2692307692307692,0.11666666666666667,0.16279069767441862,0.06896551724137931,0.26738831615120273
linear_svm,backlight,55,0.4827586206896552,0.7636363636363637,0.5915492957746479,0.49264006056673154,0.6764190981432361
linear_svm,transition,77,0.3466666666666667,0.33766233766233766,0.34210526315789475,0.2402367987843485,0.4409767441860465
linear_svm,nir_night,361,0.9618528610354223,0.9778393351800554,0.9697802197802198,0.956989247311828,0.9817670735182371
hist_gradient_boosting,night_clear,417,0.9664268585131894,0.9664268585131894,0.9664268585131894,0.9543017632270243,0.9781553398058253
hist_gradient_boosting,normal_night,352,0.8221024258760108,0.8664772727272727,0.8437067773167358,0.8142306057733172,0.8722843822843822
hist_gradient_boosting,normal_day,366,0.7694117647058824,0.8934426229508197,0.8268015170670038,0.798423887175879,0.8544981640146879
hist_gradient_boosting,fog,231,0.84,0.8181818181818182,0.8289473684210527,0.7915166431734686,0.8668883635764733
hist_gradient_boosting,rain,194,0.7300613496932515,0.6134020618556701,0.6666666666666666,0.6060623130266654,0.7200283182607107
hist_gradient_boosting,glare,60,0.6666666666666666,0.4,0.5,0.37347383720930233,0.6105263157894737
hist_gradient_boosting,backlight,55,0.6792452830188679,0.6545454545454545,0.6666666666666666,0.5608559379986323,0.7542493528904227
hist_gradient_boosting,transition,77,0.6428571428571429,0.4675324675324675,0.5413533834586466,0.4416612757148402,0.6449596774193548
hist_gradient_boosting,nir_night,361,0.9673024523160763,0.9833795013850416,0.9752747252747253,0.9634021193530395,0.9866873461349089
mlp_small_32,night_clear,417,0.8929384965831435,0.9400479616306955,0.9158878504672897,0.8969393224699829,0.9351899500429937
mlp_small_32,normal_night,352,0.7971428571428572,0.7926136363636364,0.7948717948717948,0.761347975614219,0.8252252252252252
mlp_small_32,normal_day,366,0.6775599128540305,0.8497267759562842,0.7539393939393939,0.7199320940699185,0.7833606375136033
mlp_small_32,fog,231,0.7142857142857143,0.8225108225108225,0.7645875251509054,0.7256818746535676,0.8062051376436252
mlp_small_32,rain,194,0.6636363636363637,0.37628865979381443,0.48026315789473684,0.40806067850637523,0.5505488093935746
mlp_small_32,glare,60,0.5,0.25,0.3333333333333333,0.21711629125196438,0.46902144035184157
mlp_small_32,backlight,55,0.7692307692307693,0.5454545454545454,0.6382978723404256,0.5270102339181286,0.7339449541284404
mlp_small_32,transition,77,0.5777777777777777,0.33766233766233766,0.4262295081967213,0.3042902542372881,0.5328776978417266
mlp_small_32,nir_night,361,0.944,0.9806094182825484,0.9619565217391305,0.9478757183491031,0.9756777056025984
